food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Food Bank,Jewish Family Service,Polack Food Bank,Open,General Public,"1601 16th Ave, Seattle, WA 98122",47.6155896,-122.3118419,(206)-461-3240,https://www.jfsseattle.org/get-help/polack-food-bank/,"Wednesday, Thursday, Friday",8/4/2025,3,False,False,True,False,False,Seattle
Food Bank,Kent Food Bank and Emergency Services,Kent Food Bank,Open,General Public,"515 W Harrison St, Suite 107, Kent WA 98032",47.3823817,-122.2385989,(253)-520-3550,https://www.kentfoodbank.org/,"Wednesday, Thursday, Friday",2/1/2026,3,False,False,True,False,False,
Food Bank & Meal,Lifelong,Chicken Soup Brigade,Open,Contact Agency for Any Eligibility Requirements,"210 S Lucile, Seattle , WA 98108",47.3546154,-122.1695967,(206)-957-1600,https://www.lifelong.org/chicken-soup-brigade,,2/1/2026,0,False,False,False,True,False,Seattle 
Food Bank,Living Well Kent,Kent,Open,General Public,"24604 104th Ave SE, Suite 102, Kent, WA 98030",47.3813694,-122.2015809,(425)-466-7018,https://livingwellkent.org/index.html,"Monday, Wednesday",8/12/2025,2,False,False,True,False,False,Kent
Food Bank,Maple Valley Food Bank and Emergency Services,Maple Valley Food Bank,Open,General Public,"21415 Renton-Maple Valley Rd SE, Maple Valley, WA 98038",47.4093704,-122.0395177,(425)-432-8633,https://www.maplevalleyfoodbank.org/,"Tuesday, Wednesday",8/7/2025,2,False,False,True,False,False,Maple Valley
Food Bank & Meal,Messiah Lutheran Church,Auburn,Open,General Public,"410 H St NE, Auburn, WA 98002",47.3116212,-122.2190892,(253)-833-5280,https://www.mlcauburn.org/community,"Sunday, Wednesday, Thursday",8/4/2025,3,False,False,True,False,True,Auburn
Food Bank,North Helpline,Bitter Lake Food Bank,Open,General Public,"13000 Linden Ave N, Seattle, WA 98125",47.7242235,-122.3472592,(206)-367-3477,https://www.northhelpline.org/get-help/bitter-lake/,Saturday,8/4/2025,1,False,False,True,False,True,Seattle
Food Bank,North Helpline,Lake City Food Bank,Open,General Public,"12736 33rd Ave NE, Seattle, WA 98125",47.7223248,-122.2918447,(206)-367-3477,https://www.northhelpline.org/get-help/food-bank/,"Wednesday, Thursday, Saturday",8/12/2025,3,False,False,True,False,True,Seattle
Food Bank,Northwest Harvest,SODO Community Market,Open,General Public,"1915 4th Ave S, Seattle, WA 98134",47.5855714,-122.3295651,(800)-722-6924,https://www.northwestharvest.org/sodo-community-market,"Monday, Wednesday, Friday",8/4/2025,3,False,False,True,False,False,Seattle
Meal,Northwest SHARE,University Heights Center,Open,General Public,"5031 University Way NE, Seattle, WA 98105",47.666133,-122.3137458,(206)-527-4278,https://www.uheightscenter.org/coronavirus,"Sunday, Wednesday, Friday, Saturday",8/4/2025,4,False,False,True,False,True,Seattle
Meal,Operation Nightwatch,Operation Nightwatch Shelter Dispatch Center,Open,General Public,"302 14th Ave S, Seattle, WA 98144",47.5998571,-122.3137564,(206)-329-2099,https://www.seattlenightwatch.org/what-we-do/food-and-shelter/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/4/2025,7,False,False,True,False,True,Seattle
Meal,Operation Sack Lunch Inc.,Compass Housing,Open,General Public,"210 Alaskan Way S, Seattle, WA 98104",47.60104542,-122.3353162,(206)-347-6629,https://www.oslserves.org/,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/12/2025,6,False,False,True,False,True,Seattle
